catalog_size,hardness_level,language,policy,query_id,rank,recall_at_10,recall_at_3,recall_at_5,seed,top1
512,H5,es,A6_auto_hybrid,create_issue-h5-es-1,1,1,1,1,23,1
512,H5,fr,A6_auto_hybrid,create_issue-h5-fr-1,1,1,1,1,23,1
512,H0,en,A6_auto_hybrid,update_issue-h0-en-1,1,1,1,1,23,1
512,H1,en,A6_auto_hybrid,update_issue-h1-en-1,2,1,1,1,23,0
512,H2,en,A6_auto_hybrid,update_issue-h2-en-1,18,0,0,0,23,0
512,H3,en,A6_auto_hybrid,update_issue-h3-en-1,1,1,1,1,23,1
512,H4,en,A6_auto_hybrid,update_issue-h4-en-1,1,1,1,1,23,1
512,H5,pt,A6_auto_hybrid,update_issue-h5-pt-1,1,1,1,1,23,1
512,H5,es,A6_auto_hybrid,update_issue-h5-es-1,1,1,1,1,23,1
512,H5,fr,A6_auto_hybrid,update_issue-h5-fr-1,2,1,1,1,23,0
512,H0,en,A6_auto_hybrid,create_report-h0-en-1,1,1,1,1,23,1
512,H1,en,A6_auto_hybrid,create_report-h1-en-1,1,1,1,1,23,1
512,H2,en,A6_auto_hybrid,create_report-h2-en-1,20,0,0,0,23,0
512,H3,en,A6_auto_hybrid,create_report-h3-en-1,5,1,0,1,23,0
512,H4,en,A6_auto_hybrid,create_report-h4-en-1,1,1,1,1,23,1
512,H5,pt,A6_auto_hybrid,create_report-h5-pt-1,1,1,1,1,23,1
512,H5,es,A6_auto_hybrid,create_report-h5-es-1,1,1,1,1,23,1
512,H5,fr,A6_auto_hybrid,create_report-h5-fr-1,1,1,1,1,23,1
512,H0,en,A6_auto_hybrid,archive_report-h0-en-1,1,1,1,1,23,1
512,H1,en,A6_auto_hybrid,archive_report-h1-en-1,21,0,0,0,23,0
512,H2,en,A6_auto_hybrid,archive_report-h2-en-1,5,1,0,1,23,0
512,H3,en,A6_auto_hybrid,archive_report-h3-en-1,1,1,1,1,23,1
512,H4,en,A6_auto_hybrid,archive_report-h4-en-1,1,1,1,1,23,1
512,H5,pt,A6_auto_hybrid,archive_report-h5-pt-1,1,1,1,1,23,1
512,H5,es,A6_auto_hybrid,archive_report-h5-es-1,1,1,1,1,23,1
512,H5,fr,A6_auto_hybrid,archive_report-h5-fr-1,1,1,1,1,23,1
512,H0,en,A6_auto_hybrid,purge_archive-h0-en-1,1,1,1,1,23,1
512,H1,en,A6_auto_hybrid,purge_archive-h1-en-1,1,1,1,1,23,1
512,H2,en,A6_auto_hybrid,purge_archive-h2-en-1,2,1,1,1,23,0
512,H3,en,A6_auto_hybrid,purge_archive-h3-en-1,1,1,1,1,23,1
512,H4,en,A6_auto_hybrid,purge_archive-h4-en-1,1,1,1,1,23,1
512,H5,pt,A6_auto_hybrid,purge_archive-h5-pt-1,1,1,1,1,23,1
512,H5,es,A6_auto_hybrid,purge_archive-h5-es-1,2,1,1,1,23,0
512,H5,fr,A6_auto_hybrid,purge_archive-h5-fr-1,1,1,1,1,23,1
512,H0,en,A2_keywords_synonyms,search_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,search_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,search_user-h2-en-1,17,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,search_user-h3-en-1,1,1,1,1,37,1
512,H4,en,A2_keywords_synonyms,search_user-h4-en-1,47,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,search_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,search_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,search_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,get_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,get_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,get_user-h2-en-1,10,1,0,0,37,0
512,H3,en,A2_keywords_synonyms,get_user-h3-en-1,287,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,get_user-h4-en-1,199,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,get_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,get_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,get_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,validate_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,validate_user-h1-en-1,17,0,0,0,37,0
512,H2,en,A2_keywords_synonyms,validate_user-h2-en-1,496,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,validate_user-h3-en-1,9,1,0,0,37,0
512,H4,en,A2_keywords_synonyms,validate_user-h4-en-1,10,1,0,0,37,0
512,H5,pt,A2_keywords_synonyms,validate_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,validate_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,validate_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,update_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,update_user-h1-en-1,5,1,0,1,37,0
512,H2,en,A2_keywords_synonyms,update_user-h2-en-1,487,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,update_user-h3-en-1,13,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,update_user-h4-en-1,37,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,update_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,update_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,update_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,notify_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,notify_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,notify_user-h2-en-1,36,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,notify_user-h3-en-1,310,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,notify_user-h4-en-1,291,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,notify_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,notify_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,notify_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,delete_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,delete_user-h1-en-1,3,1,1,1,37,0
512,H2,en,A2_keywords_synonyms,delete_user-h2-en-1,139,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,delete_user-h3-en-1,104,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,delete_user-h4-en-1,159,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,delete_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,delete_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,delete_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,search_document-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,search_document-h1-en-1,11,0,0,0,37,0
512,H2,en,A2_keywords_synonyms,search_document-h2-en-1,11,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,search_document-h3-en-1,29,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,search_document-h4-en-1,1,1,1,1,37,1
512,H5,pt,A2_keywords_synonyms,search_document-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,search_document-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,search_document-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,read_document-h0-en-1,68,0,0,0,37,0
512,H1,en,A2_keywords_synonyms,read_document-h1-en-1,15,0,0,0,37,0
512,H2,en,A2_keywords_synonyms,read_document-h2-en-1,4,1,0,1,37,0
512,H3,en,A2_keywords_synonyms,read_document-h3-en-1,362,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,read_document-h4-en-1,2,1,1,1,37,0
512,H5,pt,A2_keywords_synonyms,read_document-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,read_document-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,read_document-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,extract_metadata-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,extract_metadata-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,extract_metadata-h2-en-1,21,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,extract_metadata-h3-en-1,46,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,extract_metadata-h4-en-1,85,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,extract_metadata-h5-pt-1,4,1,0,1,37,0
512,H5,es,A2_keywords_synonyms,extract_metadata-h5-es-1,4,1,0,1,37,0
512,H5,fr,A2_keywords_synonyms,extract_metadata-h5-fr-1,4,1,0,1,37,0
512,H0,en,A2_keywords_synonyms,update_document-h0-en-1,2,1,1,1,37,0
512,H1,en,A2_keywords_synonyms,update_document-h1-en-1,484,0,0,0,37,0
512,H2,en,A2_keywords_synonyms,update_document-h2-en-1,489,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,update_document-h3-en-1,484,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,update_document-h4-en-1,34,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,update_document-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,update_document-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,update_document-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,export_document-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,export_document-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,export_document-h2-en-1,1,1,1,1,37,1
512,H3,en,A2_keywords_synonyms,export_document-h3-en-1,53,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,export_document-h4-en-1,1,1,1,1,37,1
512,H5,pt,A2_keywords_synonyms,export_document-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,export_document-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,export_document-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,search_repository-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,search_repository-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,search_repository-h2-en-1,1,1,1,1,37,1
512,H3,en,A2_keywords_synonyms,search_repository-h3-en-1,1,1,1,1,37,1
512,H4,en,A2_keywords_synonyms,search_repository-h4-en-1,1,1,1,1,37,1
512,H5,pt,A2_keywords_synonyms,search_repository-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,search_repository-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,search_repository-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,get_repository-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,get_repository-h1-en-1,9,1,0,0,37,0
512,H2,en,A2_keywords_synonyms,get_repository-h2-en-1,1,1,1,1,37,1
512,H3,en,A2_keywords_synonyms,get_repository-h3-en-1,217,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,get_repository-h4-en-1,2,1,1,1,37,0
512,H5,pt,A2_keywords_synonyms,get_repository-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,get_repository-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,get_repository-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,create_issue-h0-en-1,2,1,1,1,37,0
512,H1,en,A2_keywords_synonyms,create_issue-h1-en-1,2,1,1,1,37,0
512,H2,en,A2_keywords_synonyms,create_issue-h2-en-1,19,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,create_issue-h3-en-1,3,1,1,1,37,0
512,H4,en,A2_keywords_synonyms,create_issue-h4-en-1,2,1,1,1,37,0
512,H5,pt,A2_keywords_synonyms,create_issue-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,create_issue-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,create_issue-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,update_issue-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,update_issue-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,update_issue-h2-en-1,12,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,update_issue-h3-en-1,1,1,1,1,37,1
512,H4,en,A2_keywords_synonyms,update_issue-h4-en-1,28,0,0,0,37,0
512,H5,pt,A2_keywords_synonyms,update_issue-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,update_issue-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,update_issue-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,create_report-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,create_report-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,create_report-h2-en-1,8,1,0,0,37,0
512,H3,en,A2_keywords_synonyms,create_report-h3-en-1,16,0,0,0,37,0
512,H4,en,A2_keywords_synonyms,create_report-h4-en-1,1,1,1,1,37,1
512,H5,pt,A2_keywords_synonyms,create_report-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,create_report-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,create_report-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,archive_report-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,archive_report-h1-en-1,26,0,0,0,37,0
512,H2,en,A2_keywords_synonyms,archive_report-h2-en-1,1,1,1,1,37,1
512,H3,en,A2_keywords_synonyms,archive_report-h3-en-1,1,1,1,1,37,1
512,H4,en,A2_keywords_synonyms,archive_report-h4-en-1,1,1,1,1,37,1
512,H5,pt,A2_keywords_synonyms,archive_report-h5-pt-1,1,1,1,1,37,1
512,H5,es,A2_keywords_synonyms,archive_report-h5-es-1,1,1,1,1,37,1
512,H5,fr,A2_keywords_synonyms,archive_report-h5-fr-1,1,1,1,1,37,1
512,H0,en,A2_keywords_synonyms,purge_archive-h0-en-1,1,1,1,1,37,1
512,H1,en,A2_keywords_synonyms,purge_archive-h1-en-1,1,1,1,1,37,1
512,H2,en,A2_keywords_synonyms,purge_archive-h2-en-1,20,0,0,0,37,0
512,H3,en,A2_keywords_synonyms,purge_archive-h3-en-1,4,1,0,1,37,0
512,H4,en,A2_keywords_synonyms,purge_archive-h4-en-1,4,1,0,1,37,0
512,H5,pt,A2_keywords_synonyms,purge_archive-h5-pt-1,4,1,0,1,37,0
512,H5,es,A2_keywords_synonyms,purge_archive-h5-es-1,4,1,0,1,37,0
512,H5,fr,A2_keywords_synonyms,purge_archive-h5-fr-1,4,1,0,1,37,0
512,H0,en,A5_embedding,search_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,search_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,search_user-h2-en-1,1,1,1,1,37,1
512,H3,en,A5_embedding,search_user-h3-en-1,1,1,1,1,37,1
512,H4,en,A5_embedding,search_user-h4-en-1,48,0,0,0,37,0
512,H5,pt,A5_embedding,search_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A5_embedding,search_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A5_embedding,search_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A5_embedding,get_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,get_user-h1-en-1,23,0,0,0,37,0
512,H2,en,A5_embedding,get_user-h2-en-1,14,0,0,0,37,0
512,H3,en,A5_embedding,get_user-h3-en-1,183,0,0,0,37,0
512,H4,en,A5_embedding,get_user-h4-en-1,8,1,0,0,37,0
512,H5,pt,A5_embedding,get_user-h5-pt-1,147,0,0,0,37,0
512,H5,es,A5_embedding,get_user-h5-es-1,137,0,0,0,37,0
512,H5,fr,A5_embedding,get_user-h5-fr-1,47,0,0,0,37,0
512,H0,en,A5_embedding,validate_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,validate_user-h1-en-1,2,1,1,1,37,0
512,H2,en,A5_embedding,validate_user-h2-en-1,10,1,0,0,37,0
512,H3,en,A5_embedding,validate_user-h3-en-1,4,1,0,1,37,0
512,H4,en,A5_embedding,validate_user-h4-en-1,380,0,0,0,37,0
512,H5,pt,A5_embedding,validate_user-h5-pt-1,149,0,0,0,37,0
512,H5,es,A5_embedding,validate_user-h5-es-1,116,0,0,0,37,0
512,H5,fr,A5_embedding,validate_user-h5-fr-1,170,0,0,0,37,0
512,H0,en,A5_embedding,update_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,update_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,update_user-h2-en-1,7,1,0,0,37,0
512,H3,en,A5_embedding,update_user-h3-en-1,236,0,0,0,37,0
512,H4,en,A5_embedding,update_user-h4-en-1,19,0,0,0,37,0
512,H5,pt,A5_embedding,update_user-h5-pt-1,399,0,0,0,37,0
512,H5,es,A5_embedding,update_user-h5-es-1,228,0,0,0,37,0
512,H5,fr,A5_embedding,update_user-h5-fr-1,403,0,0,0,37,0
512,H0,en,A5_embedding,notify_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,notify_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,notify_user-h2-en-1,17,0,0,0,37,0
512,H3,en,A5_embedding,notify_user-h3-en-1,3,1,1,1,37,0
512,H4,en,A5_embedding,notify_user-h4-en-1,6,1,0,0,37,0
512,H5,pt,A5_embedding,notify_user-h5-pt-1,245,0,0,0,37,0
512,H5,es,A5_embedding,notify_user-h5-es-1,224,0,0,0,37,0
512,H5,fr,A5_embedding,notify_user-h5-fr-1,42,0,0,0,37,0
512,H0,en,A5_embedding,delete_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,delete_user-h1-en-1,2,1,1,1,37,0
512,H2,en,A5_embedding,delete_user-h2-en-1,12,0,0,0,37,0
512,H3,en,A5_embedding,delete_user-h3-en-1,279,0,0,0,37,0
512,H4,en,A5_embedding,delete_user-h4-en-1,77,0,0,0,37,0
512,H5,pt,A5_embedding,delete_user-h5-pt-1,501,0,0,0,37,0
512,H5,es,A5_embedding,delete_user-h5-es-1,497,0,0,0,37,0
512,H5,fr,A5_embedding,delete_user-h5-fr-1,348,0,0,0,37,0
512,H0,en,A5_embedding,search_document-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,search_document-h1-en-1,66,0,0,0,37,0
512,H2,en,A5_embedding,search_document-h2-en-1,58,0,0,0,37,0
512,H3,en,A5_embedding,search_document-h3-en-1,189,0,0,0,37,0
512,H4,en,A5_embedding,search_document-h4-en-1,2,1,1,1,37,0
512,H5,pt,A5_embedding,search_document-h5-pt-1,10,1,0,0,37,0
512,H5,es,A5_embedding,search_document-h5-es-1,23,0,0,0,37,0
512,H5,fr,A5_embedding,search_document-h5-fr-1,21,0,0,0,37,0
512,H0,en,A5_embedding,read_document-h0-en-1,34,0,0,0,37,0
512,H1,en,A5_embedding,read_document-h1-en-1,97,0,0,0,37,0
512,H2,en,A5_embedding,read_document-h2-en-1,232,0,0,0,37,0
512,H3,en,A5_embedding,read_document-h3-en-1,278,0,0,0,37,0
512,H4,en,A5_embedding,read_document-h4-en-1,277,0,0,0,37,0
512,H5,pt,A5_embedding,read_document-h5-pt-1,94,0,0,0,37,0
512,H5,es,A5_embedding,read_document-h5-es-1,160,0,0,0,37,0
512,H5,fr,A5_embedding,read_document-h5-fr-1,132,0,0,0,37,0
512,H0,en,A5_embedding,extract_metadata-h0-en-1,14,0,0,0,37,0
512,H1,en,A5_embedding,extract_metadata-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,extract_metadata-h2-en-1,2,1,1,1,37,0
512,H3,en,A5_embedding,extract_metadata-h3-en-1,12,0,0,0,37,0
512,H4,en,A5_embedding,extract_metadata-h4-en-1,355,0,0,0,37,0
512,H5,pt,A5_embedding,extract_metadata-h5-pt-1,247,0,0,0,37,0
512,H5,es,A5_embedding,extract_metadata-h5-es-1,220,0,0,0,37,0
512,H5,fr,A5_embedding,extract_metadata-h5-fr-1,224,0,0,0,37,0
512,H0,en,A5_embedding,update_document-h0-en-1,2,1,1,1,37,0
512,H1,en,A5_embedding,update_document-h1-en-1,226,0,0,0,37,0
512,H2,en,A5_embedding,update_document-h2-en-1,290,0,0,0,37,0
512,H3,en,A5_embedding,update_document-h3-en-1,17,0,0,0,37,0
512,H4,en,A5_embedding,update_document-h4-en-1,14,0,0,0,37,0
512,H5,pt,A5_embedding,update_document-h5-pt-1,491,0,0,0,37,0
512,H5,es,A5_embedding,update_document-h5-es-1,492,0,0,0,37,0
512,H5,fr,A5_embedding,update_document-h5-fr-1,510,0,0,0,37,0
512,H0,en,A5_embedding,export_document-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,export_document-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,export_document-h2-en-1,1,1,1,1,37,1
512,H3,en,A5_embedding,export_document-h3-en-1,2,1,1,1,37,0
512,H4,en,A5_embedding,export_document-h4-en-1,51,0,0,0,37,0
512,H5,pt,A5_embedding,export_document-h5-pt-1,2,1,1,1,37,0
512,H5,es,A5_embedding,export_document-h5-es-1,4,1,0,1,37,0
512,H5,fr,A5_embedding,export_document-h5-fr-1,1,1,1,1,37,1
512,H0,en,A5_embedding,search_repository-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,search_repository-h1-en-1,4,1,0,1,37,0
512,H2,en,A5_embedding,search_repository-h2-en-1,7,1,0,0,37,0
512,H3,en,A5_embedding,search_repository-h3-en-1,1,1,1,1,37,1
512,H4,en,A5_embedding,search_repository-h4-en-1,1,1,1,1,37,1
512,H5,pt,A5_embedding,search_repository-h5-pt-1,115,0,0,0,37,0
512,H5,es,A5_embedding,search_repository-h5-es-1,101,0,0,0,37,0
512,H5,fr,A5_embedding,search_repository-h5-fr-1,38,0,0,0,37,0
512,H0,en,A5_embedding,get_repository-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,get_repository-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,get_repository-h2-en-1,1,1,1,1,37,1
512,H3,en,A5_embedding,get_repository-h3-en-1,3,1,1,1,37,0
512,H4,en,A5_embedding,get_repository-h4-en-1,19,0,0,0,37,0
512,H5,pt,A5_embedding,get_repository-h5-pt-1,14,0,0,0,37,0
512,H5,es,A5_embedding,get_repository-h5-es-1,16,0,0,0,37,0
512,H5,fr,A5_embedding,get_repository-h5-fr-1,22,0,0,0,37,0
512,H0,en,A5_embedding,create_issue-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,create_issue-h1-en-1,2,1,1,1,37,0
512,H2,en,A5_embedding,create_issue-h2-en-1,1,1,1,1,37,1
512,H3,en,A5_embedding,create_issue-h3-en-1,1,1,1,1,37,1
512,H4,en,A5_embedding,create_issue-h4-en-1,1,1,1,1,37,1
512,H5,pt,A5_embedding,create_issue-h5-pt-1,3,1,1,1,37,0
512,H5,es,A5_embedding,create_issue-h5-es-1,9,1,0,0,37,0
512,H5,fr,A5_embedding,create_issue-h5-fr-1,12,0,0,0,37,0
512,H0,en,A5_embedding,update_issue-h0-en-1,2,1,1,1,37,0
512,H1,en,A5_embedding,update_issue-h1-en-1,2,1,1,1,37,0
512,H2,en,A5_embedding,update_issue-h2-en-1,10,1,0,0,37,0
512,H3,en,A5_embedding,update_issue-h3-en-1,4,1,0,1,37,0
512,H4,en,A5_embedding,update_issue-h4-en-1,1,1,1,1,37,1
512,H5,pt,A5_embedding,update_issue-h5-pt-1,10,1,0,0,37,0
512,H5,es,A5_embedding,update_issue-h5-es-1,8,1,0,0,37,0
512,H5,fr,A5_embedding,update_issue-h5-fr-1,14,0,0,0,37,0
512,H0,en,A5_embedding,create_report-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,create_report-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,create_report-h2-en-1,11,0,0,0,37,0
512,H3,en,A5_embedding,create_report-h3-en-1,3,1,1,1,37,0
512,H4,en,A5_embedding,create_report-h4-en-1,4,1,0,1,37,0
512,H5,pt,A5_embedding,create_report-h5-pt-1,36,0,0,0,37,0
512,H5,es,A5_embedding,create_report-h5-es-1,21,0,0,0,37,0
512,H5,fr,A5_embedding,create_report-h5-fr-1,39,0,0,0,37,0
512,H0,en,A5_embedding,archive_report-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,archive_report-h1-en-1,3,1,1,1,37,0
512,H2,en,A5_embedding,archive_report-h2-en-1,9,1,0,0,37,0
512,H3,en,A5_embedding,archive_report-h3-en-1,1,1,1,1,37,1
512,H4,en,A5_embedding,archive_report-h4-en-1,1,1,1,1,37,1
512,H5,pt,A5_embedding,archive_report-h5-pt-1,7,1,0,0,37,0
512,H5,es,A5_embedding,archive_report-h5-es-1,7,1,0,0,37,0
512,H5,fr,A5_embedding,archive_report-h5-fr-1,3,1,1,1,37,0
512,H0,en,A5_embedding,purge_archive-h0-en-1,1,1,1,1,37,1
512,H1,en,A5_embedding,purge_archive-h1-en-1,1,1,1,1,37,1
512,H2,en,A5_embedding,purge_archive-h2-en-1,1,1,1,1,37,1
512,H3,en,A5_embedding,purge_archive-h3-en-1,1,1,1,1,37,1
512,H4,en,A5_embedding,purge_archive-h4-en-1,1,1,1,1,37,1
512,H5,pt,A5_embedding,purge_archive-h5-pt-1,3,1,1,1,37,0
512,H5,es,A5_embedding,purge_archive-h5-es-1,4,1,0,1,37,0
512,H5,fr,A5_embedding,purge_archive-h5-fr-1,3,1,1,1,37,0
512,H0,en,A6_auto_hybrid,search_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A6_auto_hybrid,search_user-h1-en-1,1,1,1,1,37,1
512,H2,en,A6_auto_hybrid,search_user-h2-en-1,1,1,1,1,37,1
512,H3,en,A6_auto_hybrid,search_user-h3-en-1,1,1,1,1,37,1
512,H4,en,A6_auto_hybrid,search_user-h4-en-1,41,0,0,0,37,0
512,H5,pt,A6_auto_hybrid,search_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A6_auto_hybrid,search_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A6_auto_hybrid,search_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A6_auto_hybrid,get_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A6_auto_hybrid,get_user-h1-en-1,3,1,1,1,37,0
512,H2,en,A6_auto_hybrid,get_user-h2-en-1,3,1,1,1,37,0
512,H3,en,A6_auto_hybrid,get_user-h3-en-1,272,0,0,0,37,0
512,H4,en,A6_auto_hybrid,get_user-h4-en-1,9,1,0,0,37,0
512,H5,pt,A6_auto_hybrid,get_user-h5-pt-1,1,1,1,1,37,1
512,H5,es,A6_auto_hybrid,get_user-h5-es-1,1,1,1,1,37,1
512,H5,fr,A6_auto_hybrid,get_user-h5-fr-1,1,1,1,1,37,1
512,H0,en,A6_auto_hybrid,validate_user-h0-en-1,1,1,1,1,37,1
512,H1,en,A6_auto_hybrid,validate_user-h1-en-1,3,1,1,1,37,0
